bucket,outcome,volume_tokens,volume_notional_usdc
2026-03-26 18:28:15+00:00,DOWN,250.34945,243.718761
2026-03-26 18:28:15+00:00,UP,1494.726661,42.431196
2026-03-26 18:28:20+00:00,DOWN,1549.721667,1517.973428
2026-03-26 18:28:20+00:00,UP,4826.1638029999995,205.45219600000001
2026-03-26 18:28:25+00:00,DOWN,948.197668,920.3216749999999
2026-03-26 18:28:25+00:00,UP,289.333332,10.889999
2026-03-26 18:28:30+00:00,DOWN,984.606282,958.592432
2026-03-26 18:28:30+00:00,UP,423.7325,15.2952
2026-03-26 18:28:35+00:00,DOWN,983.667633,961.274935
2026-03-26 18:28:35+00:00,UP,1065.059993,33.931695000000005
2026-03-26 18:28:40+00:00,DOWN,797.8965999999999,786.7026569999999
2026-03-26 18:28:40+00:00,UP,84.18,0.8418000000000001
2026-03-26 18:28:45+00:00,DOWN,2506.4166999999998,2480.968833
2026-03-26 18:28:45+00:00,UP,753.41,14.5341
2026-03-26 18:28:50+00:00,UP,115.0,1.225
2026-03-26 18:28:50+00:00,DOWN,7948.887462000001,7869.22328
2026-03-26 18:28:55+00:00,DOWN,1772.33,1754.6067
2026-03-26 18:28:55+00:00,UP,400.0,4.0
2026-03-26 18:29:00+00:00,DOWN,22.67,22.4433
2026-03-26 18:29:00+00:00,UP,1200.0,12.0
2026-03-26 18:29:05+00:00,DOWN,69.87,69.1713
2026-03-26 18:29:05+00:00,UP,600.0,6.0
2026-03-26 18:29:15+00:00,DOWN,72.74,72.01259999999999
2026-03-26 18:29:15+00:00,UP,700.0,7.0
2026-03-26 18:29:20+00:00,DOWN,125.02000000000001,123.7698
2026-03-26 18:29:20+00:00,UP,507.1,5.071
2026-03-26 18:29:25+00:00,DOWN,9.51,9.414900000000001
2026-03-26 18:29:25+00:00,UP,1498.0,14.98
2026-03-26 18:29:35+00:00,UP,101.1,1.011
2026-03-26 18:29:35+00:00,DOWN,2.57,2.5443
2026-03-26 18:29:40+00:00,DOWN,33.1,32.769
2026-03-26 18:29:40+00:00,UP,2000.0,20.0
2026-03-26 18:29:45+00:00,DOWN,7.04,6.9696
2026-03-26 18:29:45+00:00,UP,210.0,2.1
2026-03-26 18:29:50+00:00,DOWN,34.77,34.4223
2026-03-26 18:29:55+00:00,DOWN,0.09,0.0891
2026-03-26 18:29:55+00:00,UP,100.0,1.0
2026-03-26 18:30:00+00:00,DOWN,18.95,18.7605
2026-03-26 18:30:05+00:00,DOWN,160.62,159.0138
2026-03-26 18:30:05+00:00,UP,215.0,2.15
2026-03-26 18:30:10+00:00,DOWN,298.49,295.5051
2026-03-26 18:30:10+00:00,UP,1500.0,15.0
2026-03-26 18:30:15+00:00,DOWN,38.160000000000004,37.778400000000005
2026-03-26 18:30:20+00:00,DOWN,20.15,19.9485
2026-03-26 18:30:25+00:00,DOWN,80.22,79.4178
2026-03-26 18:30:30+00:00,DOWN,58.18,57.5982
2026-03-26 18:30:35+00:00,DOWN,3.32,3.2868
2026-03-26 18:30:40+00:00,DOWN,190.53,188.6247
2026-03-26 18:30:55+00:00,DOWN,13.1,12.969
2026-03-26 18:31:05+00:00,DOWN,17.34,17.1666
2026-03-26 18:31:10+00:00,DOWN,512.86,507.7314
2026-03-26 18:31:25+00:00,DOWN,6.13,6.0687
2026-03-26 18:31:30+00:00,DOWN,156.82,155.2518
2026-03-26 18:31:35+00:00,DOWN,7.21,7.1379
2026-03-26 18:31:45+00:00,UP,100.0,1.0
2026-03-26 18:31:50+00:00,DOWN,10.3,10.197000000000001
2026-03-26 18:31:55+00:00,UP,100.0,1.0
